Command: /home/users9/jp581081/526LSP21/LAB9/./simv -l fifo_FWFT.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  1 18:13 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                 560:rst_n=x, data_in= 29, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=27
                 570:rst_n=x, data_in= 29, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=28
                 580:rst_n=x, data_in= 30, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=28
                 590:rst_n=x, data_in= 30, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=29
                 600:rst_n=x, data_in= 31, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=29
                 610:rst_n=x, data_in= 31, wr_en=1, almost_full=1, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=30
                 620:rst_n=x, data_in= 32, wr_en=1, almost_full=1, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=30
                 630:rst_n=x, data_in= 32, wr_en=1, almost_full=1, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=31
                 640:rst_n=x, data_in= 33, wr_en=1, almost_full=1, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=31
                 650:rst_n=x, data_in= 33, wr_en=1, almost_full=1, full=1, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count=32
